"Risk","Alert","Confidence","Instances"
"High (Low)","SQL Injection","1","2"
"Medium (High)","Content Security Policy (CSP) Header Not Set","3","5"
"Medium (Medium)","Cross-Domain Misconfiguration","2","5"
"Medium (Medium)","Missing Anti-clickjacking Header","2","3"
"Medium (High)","Session ID in URL Rewrite","3","5"
"Low (Medium)","Cross-Domain JavaScript Source File Inclusion","2","5"
"Low (Medium)","Private IP Disclosure","2","1"
"Low (Low)","Timestamp Disclosure - Unix","1","5"
"Low (Medium)","X-Content-Type-Options Header Missing","2","5"
"Informational (High)","Authentication Request Identified","3","1"
"Informational (Medium)","Modern Web Application","2","5"
"Informational (Medium)","Session Management Response Identified","2","2"
"Informational (Medium)","User Agent Fuzzer","2","3"
