id,ChallengeId,text,order,unlocked,createdAt,updatedAt
1,1,You need to work with the server-side API directly. Try different HTTP verbs on different entities exposed through the API.,NULL,0,2026-03-04 09:18:12.858 +00:00,2026-03-04 09:18:12.858 +00:00
2,1,A matrix of known data entities and their supported HTTP verbs through the API can help you here.,NULL,0,2026-03-04 09:18:12.858 +00:00,2026-03-04 09:18:12.858 +00:00
3,1,Careless developers might have exposed API methods that the client does not even need.,NULL,0,2026-03-04 09:18:12.858 +00:00,2026-03-04 09:18:12.858 +00:00
4,2,Who would want a server access log to be accessible through a web application?,NULL,0,2026-03-04 09:18:12.860 +00:00,2026-03-04 09:18:12.860 +00:00
5,2,"Normally, server log files are written to disk on server side and are not accessible from the outside.",NULL,0,2026-03-04 09:18:12.860 +00:00,2026-03-04 09:18:12.860 +00:00
6,2,Which raises the question: Who would want a server access log to be accessible through a web application?,NULL,0,2026-03-04 09:18:12.860 +00:00,2026-03-04 09:18:12.860 +00:00
7,2,"One particular file found in the folder you might already have found during the ""Access a confidential document"" challenge might give you an idea who is interested in such a public exposure.",NULL,0,2026-03-04 09:18:12.860 +00:00,2026-03-04 09:18:12.860 +00:00
8,2,Drilling down one level into the file system might not be sufficient.,NULL,0,2026-03-04 09:18:12.860 +00:00,2026-03-04 09:18:12.860 +00:00
9,3,You have to assign the unassignable.,NULL,0,2026-03-04 09:18:12.863 +00:00,2026-03-04 09:18:12.863 +00:00
10,3,Register as an ordinary user to learn what API endpoints are involved in this use case.,NULL,0,2026-03-04 09:18:12.863 +00:00,2026-03-04 09:18:12.863 +00:00
11,3,Think of the simplest possible implementations of a distinction between regular users and administrators.,NULL,0,2026-03-04 09:18:12.863 +00:00,2026-03-04 09:18:12.863 +00:00
12,4,It is just slightly harder to find than the score board link.,NULL,0,2026-03-04 09:18:12.865 +00:00,2026-03-04 09:18:12.865 +00:00
13,4,"Knowing it exists, you can simply guess what URL the admin section might have.",NULL,0,2026-03-04 09:18:12.865 +00:00,2026-03-04 09:18:12.865 +00:00
14,4,"Alternatively, you can try to find a reference or clue within the parts of the application that are not usually visible in the browser.",NULL,0,2026-03-04 09:18:12.865 +00:00,2026-03-04 09:18:12.865 +00:00
15,4,It is probably just slightly harder to find and gain access to than the score board link.,NULL,0,2026-03-04 09:18:12.865 +00:00,2026-03-04 09:18:12.865 +00:00
16,4,"There is some access control in place, but there are at least three ways to bypass it.",NULL,0,2026-03-04 09:18:12.865 +00:00,2026-03-04 09:18:12.865 +00:00
17,5,Look out for a tweet praising new functionality of the web shop. Then find a third party vulnerability associated with it.,NULL,0,2026-03-04 09:18:12.867 +00:00,2026-03-04 09:18:12.867 +00:00
18,5,Find all places in the application where file uploads are possible.,NULL,0,2026-03-04 09:18:12.867 +00:00,2026-03-04 09:18:12.867 +00:00
19,5,"For at least one of these, the Juice Shop is depending on a library that suffers from an arbitrary file overwrite vulnerability.",NULL,0,2026-03-04 09:18:12.867 +00:00,2026-03-04 09:18:12.867 +00:00
20,5,You can find a hint toward the underlying vulnerability in the @owasp_juiceshop Twitter timeline.,NULL,0,2026-03-04 09:18:12.867 +00:00,2026-03-04 09:18:12.867 +00:00
21,6,Hints to the answer to Bjoern’s question can be found by looking him up on the Internet.,NULL,0,2026-03-04 09:18:12.869 +00:00,2026-03-04 09:18:12.869 +00:00
22,6,"More precisely, Bjoern might have accidentally (?) doxxed himself by mentioning his security answer on at least one occasion where a camera was running.",NULL,0,2026-03-04 09:18:12.869 +00:00,2026-03-04 09:18:12.869 +00:00
23,6,Brute forcing the answer might be very well possible with a sufficiently extensive list of common pet names.,NULL,0,2026-03-04 09:18:12.869 +00:00,2026-03-04 09:18:12.869 +00:00
